Aquí tienes la tabla solicitada:

| Término         | Definición                                                                 |
|----------------|-----------------------------------------------------------------------------|
| Gregor Mendel   | Científico austríaco considerado padre de la genética por sus estudios con guisantes |
| Cruzamiento     | Proceso de unión de gametos para producir un descendiente                     |
| Alelos          | Versiones diferentes de un gen                                              |
| Dominante       | Alelo que se manifiesta en el individuo                                      |
| Recesivo        | Alelo que no se manifiesta en el individuo                                   |
| Homocigoto      | Individuo que tiene dos alelos iguales para un gen                            |
| Heterocigoto    | Individuo que tiene dos alelos diferentes para un gen                         |
| Genotipo        | Combinación de alelos de un individuo                                         |
| Fenotipo        | Características físicas o funcionales de un individuo                         |
| Leyes de Mendel | Principios básicos de la genética descubiertos por Mendel                     |
| Segregación     | Separación de los alelos en la formación de los gametos                       |
| Distribución    | Proporción en la que se combinan los alelos en los descendientes             |

Espero que sea de ayuda esta información. Si tienes más dudas, no dudes en preguntar.
